Time,Fp2,C3
1,8948.864258,42.60839462
1.016666667,8948.469727,42.60834885
1.033333333,8946.292969,42.60830307
1.05,8944.116211,42.60825729
1.066666667,8941.939453,42.6082077
1.083333333,8939.762695,42.60816193
1.1,8938.137695,42.60811615
1.116666667,8937.720703,42.60807037
1.133333333,8937.654297,42.6080246
1.15,8937.588867,42.60797882
1.166666667,8937.522461,42.60793304
1.183333333,8937.232422,42.60788727
1.2,8936.328125,42.60784149
1.216666667,8935.987305,42.60779572
1.233333333,8936.276367,42.60774994
1.25,8936.566406,42.60770416
1.266666667,8936.855469,42.60765839
1.283333333,8937.145508,42.60761261
1.3,8937.214844,42.60756683
1.316666667,8937.097656,42.60752106
1.333333333,8936.979492,42.60747528
1.35,8936.986328,42.6074295
1.366666667,8937.442383,42.60738373
1.383333333,8937.897461,42.60733795
1.4,8938.353516,42.60729218
1.416666667,8938.808594,42.6072464
1.433333333,8939.637695,42.60720062
1.45,8941.132813,42.60715485
1.466666667,8941.834961,42.60710907
1.483333333,8941.813477,42.60706329
1.5,8941.792969,42.60701752
1.516666667,8941.15918,42.60697174
1.533333333,8939.854492,42.60692596
1.55,8940.253906,42.60688019
1.566666667,8940.65332,42.60683441
1.583333333,8941.052734,42.60678864
1.6,8941.452148,42.60674286
1.616666667,8943.234375,42.60669708
1.633333333,8945.921875,42.60665131
1.65,8948.609375,42.60660553
1.666666667,8951.296875,42.60655975
1.683333333,8953.316406,42.60651016
1.7,8952.932617,42.60646439
1.716666667,8952.929688,42.60641861
1.733333333,8953.148438,42.60637283
1.75,8953.367188,42.60632706
1.766666667,8953.585938,42.60628128
1.783333333,8954.326172,42.6062355
1.8,8956.698242,42.60618973
1.816666667,8957.319336,42.60614395
1.833333333,8957.941406,42.60609818
1.85,8958.219727,42.6060524
1.866666667,8957.271484,42.60600662
1.883333333,8956.324219,42.60596085
1.9,8955.375977,42.60591507
1.916666667,8954.428711,42.60586929
1.933333333,8954.472656,42.60582352
1.95,8953.917969,42.60577774
1.966666667,8950.973633,42.60573196
1.983333333,8948.029297,42.60568619
2,8945.084961,42.60564041
2.016666667,8942.791992,42.60559464
2.033333333,8942.435547,42.60554886
2.05,8942.079102,42.60550308
2.066666667,8941.723633,42.60545731
2.083333333,8941.367188,42.60541153
2.1,8941.375,42.60536575
2.116666667,8942.047852,42.60531998
2.133333333,8942.720703,42.6052742
2.15,8943.394531,42.60522842
2.166666667,8944.067383,42.60518265
2.183333333,8945.740234,42.60513687
2.2,8951.004883,42.60509109
2.216666667,8954.175781,42.60504532
2.233333333,8955.448242,42.60499954
2.25,8956.720703,42.60495377
2.266666667,8957.993164,42.60490799
2.283333333,8959.265625,42.60486221
2.3,8960.716797,42.60481644
2.316666667,8961.03125,42.60476685
2.333333333,8961.345703,42.60472107
2.35,8963.97168,42.60467529
2.366666667,8969.094727,42.60462952
2.383333333,8968.436523,42.60458374
2.4,8967.77832,42.60453796
2.416666667,8967.120117,42.60449219
2.433333333,8966.461914,42.60444641
2.45,8966.042969,42.60440063
2.466666667,8965.75293,42.60435486
2.483333333,8965.462891,42.60430908
2.5,8965.172852,42.60426331
2.516666667,8964.725586,42.60421753
2.533333333,8963.807617,42.60417175
2.55,8962.889648,42.60412598
2.566666667,8961.97168,42.6040802
2.583333333,8961.053711,42.60403442
2.6,8959.813477,42.60398865
2.616666667,8957.976563,42.60394287
2.633333333,8956.138672,42.60389709
2.65,8954.301758,42.60385132
2.666666667,8952.463867,42.60380554
2.683333333,8950.788086,42.60375977
2.7,8949.713867,42.60371399
2.716666667,8949.147461,42.60366821
2.733333333,8949.603516,42.60362244
2.75,8950.058594,42.60357666
2.766666667,8950.514648,42.60353088
2.783333333,8953.874023,42.60348511
2.8,8954.410156,42.60343933
2.816666667,8954.947266,42.60339355
2.833333333,8955.483398,42.60334778
2.85,8955.786133,42.603302
2.866666667,8955.374023,42.60325623
2.883333333,8954.961914,42.60321045
2.9,8954.549805,42.60316467
2.916666667,8954.136719,42.6031189
2.933333333,8953.422852,42.60307312
2.95,8952.142578,42.60302353
2.966666667,8951.928711,42.60297775
2.983333333,8952.355469,42.60293198
3,8952.782227,42.6028862
3.016666667,8952.875977,42.60284042
3.033333333,8951.954102,42.60279465
3.05,8951.03125,42.60274887
3.066666667,8950.109375,42.60270309
3.083333333,8949.1875,42.60265732
3.1,8948.719727,42.60261154
3.116666667,8949.109375,42.60256577
3.133333333,8949.499023,42.60251999
3.15,8949.888672,42.60247421
3.166666667,8950.27832,42.60242844
3.183333333,8950.28125,42.60238266
3.2,8949.779297,42.60233688
3.216666667,8950.574219,42.60229111
3.233333333,8951.368164,42.60224533
3.25,8952.162109,42.60219955
3.266666667,8952.956055,42.60215378
3.283333333,8953.750977,42.602108
3.3,8955.06543,42.60206223
3.316666667,8955.342773,42.60201645
3.333333333,8955.621094,42.60197067
3.35,8955.898438,42.6019249
3.366666667,8956.176758,42.60187912
3.383333333,8956.454102,42.60183334
3.4,8956.732422,42.60178757
3.416666667,8957.009766,42.60174179
3.433333333,8956.441406,42.60169601
3.45,8954.277344,42.60165024
3.466666667,8953.485352,42.60160446
3.483333333,8954.756836,42.60155869
3.5,8956.029297,42.60151291
3.516666667,8956.820313,42.60146713
3.533333333,8956.130859,42.60142136
3.55,8955.442383,42.60137558
3.566666667,8954.75293,42.60132599
3.583333333,8954.064453,42.60128021
3.6,8952.879883,42.60123444
3.616666667,8950.526367,42.60118866
3.633333333,8947.953125,42.60114288
3.65,8945.379883,42.60109711
3.666666667,8942.806641,42.60105133
3.683333333,8941.311523,42.60100555
3.7,8943.138672,42.60095978
3.716666667,8943.926758,42.600914
3.733333333,8943.685547,42.60086823
3.75,8943.443359,42.60082245
3.766666667,8943.202148,42.60077667
3.783333333,8938.413086,42.6007309
3.8,8936.022461,42.60068512
3.816666667,8937.572266,42.60063934
3.833333333,8939.12207,42.60059357
3.85,8940.296875,42.60054779
3.866666667,8940.007813,42.60050201
3.883333333,8939.717773,42.60045624
3.9,8939.427734,42.60041046
3.916666667,8939.137695,42.60036469
3.933333333,8939.512695,42.60031891
3.95,8941.160156,42.60027313
3.966666667,8944.285156,42.60022736
3.983333333,8948.665039,42.60018158
4,8953.045898,42.6001358
4.016666667,8953.011719,42.60009003
4.033333333,8948.589844,42.60004425
4.05,8951.43457,42.59999847
4.066666667,8954.280273,42.5999527
4.083333333,8957.125977,42.59990692
4.1,8959.97168,42.59986115
4.116666667,8961.135742,42.59981537
4.133333333,8961.399414,42.59976959
4.15,8961.664063,42.59972382
4.166666667,8961.927734,42.59967804
4.183333333,8962.058594,42.59963226
4.2,8961.675781,42.59958267
4.216666667,8961.268555,42.5995369
4.233333333,8960.823242,42.59949112
4.25,8960.37793,42.59944534
4.266666667,8959.932617,42.59939957
4.283333333,8959.487305,42.59935379
4.3,8957.583008,42.59930801
4.316666667,8955.90332,42.59926224
4.333333333,8954.223633,42.59921646
4.35,8952.947266,42.59917068
4.366666667,8953.308594,42.59912491
4.383333333,8953.668945,42.59907913
4.4,8954.030273,42.59903336
4.416666667,8954.391602,42.59898758
4.433333333,8952.833984,42.5989418
4.45,8950.425781,42.59889603
4.466666667,8950.351563,42.59885025
4.483333333,8950.27832,42.59880447
4.5,8950.205078,42.5987587
4.516666667,8950.689453,42.59871292
4.533333333,8952.954102,42.59866714
4.55,8955.21875,42.59862137
4.566666667,8957.483398,42.59857559
4.583333333,8959.748047,42.59852982
4.6,8960.919922,42.59848404
4.616666667,8959.950195,42.59843826
4.633333333,8958.981445,42.59839249
4.65,8958.012695,42.59834671
4.666666667,8957.042969,42.59830093
4.683333333,8956.674805,42.59825516
4.7,8958.683594,42.59820938
4.716666667,8959.279297,42.5981636
4.733333333,8959.049805,42.59811783
4.75,8958.821289,42.59807205
4.766666667,8958.592773,42.59802628
4.783333333,8957.683594,42.5979805
4.8,8956.544922,42.59793472
4.816666667,8955.830078,42.59788513
4.833333333,8955.114258,42.59783936
4.85,8954.337891,42.59779358
4.866666667,8953.202148,42.5977478
4.883333333,8951.986328,42.59770203
4.9,8950.770508,42.59765625
4.916666667,8949.554688,42.59761047
4.933333333,8948.337891,42.5975647
4.95,8948.464844,42.59751892
4.966666667,8949.329102,42.59747314
4.983333333,8950.193359,42.59742737
5,8951.056641,42.59738159
5.016666667,8951.703125,42.59733582
5.033333333,8951.641602,42.59729004
5.05,8951.579102,42.59724426
5.066666667,8951.517578,42.59719849
5.083333333,8951.455078,42.59715271
5.1,8951.396484,42.59710693
5.116666667,8951.344727,42.59706116
5.133333333,8951.291992,42.59701538
5.15,8951.240234,42.5969696
5.166666667,8951.1875,42.59692383
5.183333333,8951.142578,42.59687805
5.2,8951.128906,42.59683228
5.216666667,8951.214844,42.5967865
5.233333333,8951.450195,42.59674072
5.25,8951.685547,42.59669495
5.266666667,8951.920898,42.59664917
5.283333333,8955.152344,42.59660339
5.3,8955.844727,42.59655762
5.316666667,8956.537109,42.59651184
5.333333333,8957.229492,42.59646606
5.35,8957.722656,42.59642029
5.366666667,8957.55957,42.59637451
5.383333333,8957.396484,42.59632874
5.4,8957.233398,42.59628296
5.416666667,8957.070313,42.59623718
5.433333333,8957.783203,42.59619141
5.45,8960.249023,42.59614182
5.466666667,8961.46875,42.59609604
5.483333333,8961.709961,42.59605026
5.5,8961.951172,42.59600449
5.516666667,8962.082031,42.59595871
5.533333333,8961.847656,42.59591293
5.55,8961.613281,42.59586716
5.566666667,8961.37793,42.59582138
5.583333333,8961.143555,42.5957756
5.6,8960.829102,42.59572983
5.616666667,8960.358398,42.59568405
5.633333333,8959.888672,42.59563828
5.65,8959.417969,42.5955925
5.666666667,8958.948242,42.59554672
5.683333333,8958.783203,42.59550095
5.7,8959.234375,42.59545517
5.716666667,8958.985352,42.59540939
5.733333333,8958.735352,42.59536362
5.75,8958.486328,42.59531784
5.766666667,8958.237305,42.59527206
